"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99841,-0.0083409,-0.00099801,0.32,-0.60024,0.5
0.99841,-0.0083937,-0.0010008,0.32,-0.59658,0.5
0.9984,-0.0084465,-0.0010037,0.32,-0.59292,0.5
0.9984,-0.0084993,-0.0010066,0.32,-0.58926,0.5
0.9984,-0.0085521,-0.0010094,0.32,-0.5856,0.5
0.99839,-0.0086048,-0.0010124,0.32,-0.58194,0.5
0.99839,-0.0086575,-0.0010153,0.32,-0.57828,0.5
0.99839,-0.0087102,-0.0010183,0.32,-0.57462,0.5
0.99837,-0.0087832,-0.0010193,0.32,-0.57096,0.5
0.99832,-0.0089171,-0.0010146,0.32,-0.5673,0.5
0.99828,-0.009051,-0.0010099,0.32,-0.56364,0.5
0.99823,-0.009185,-0.0010052,0.32,-0.55998,0.5
0.99818,-0.0093189,-0.0010005,0.32,-0.55632,0.5
0.99814,-0.0094529,-0.00099574,0.32,-0.55266,0.5
0.99809,-0.0095868,-0.00099102,0.32,-0.549,0.5
0.99804,-0.0097208,-0.0009863,0.32,-0.54534,0.5
0.998,-0.0098547,-0.00098158,0.32,-0.54168,0.5
0.99795,-0.0099887,-0.00097687,0.32,-0.53802,0.5
0.9979,-0.010123,-0.00097215,0.32,-0.53436,0.5
0.99785,-0.010257,-0.00096743,0.32,-0.5307,0.5
0.99781,-0.01039,-0.00096271,0.32,-0.52704,0.5
0.99776,-0.010524,-0.000958,0.32,-0.52338,0.5
0.99771,-0.010658,-0.00095328,0.32,-0.51972,0.5
0.99767,-0.010792,-0.00094856,0.32,-0.51606,0.5
0.99763,-0.010906,-0.00094542,0.32,-0.5124,0.5
0.9976,-0.011007,-0.00094323,0.32,-0.50874,0.5
0.99757,-0.011109,-0.00094103,0.32,-0.50508,0.5
0.99754,-0.01121,-0.00093884,0.32,-0.50142,0.5
0.99751,-0.011311,-0.00093665,0.32,-0.49776,0.5
0.99748,-0.011412,-0.00093445,0.32,-0.4941,0.5
0.99745,-0.011514,-0.00093226,0.32,-0.49044,0.5
0.99742,-0.011615,-0.00093007,0.32,-0.48678,0.5
0.99739,-0.011716,-0.00092787,0.32,-0.48312,0.5
0.99736,-0.011818,-0.00092568,0.32,-0.47946,0.5
0.99733,-0.011919,-0.00092349,0.32,-0.4758,0.5
0.9973,-0.01202,-0.00092129,0.32,-0.47214,0.5
0.99727,-0.012122,-0.0009191,0.32,-0.46848,0.5
0.99724,-0.012223,-0.00091691,0.32,-0.46482,0.5
0.99721,-0.012324,-0.00091471,0.32,-0.46116,0.5
0.99718,-0.012426,-0.00091252,0.32,-0.4575,0.5
0.99716,-0.012556,-0.00091204,0.32,-0.45384,0.5
0.99713,-0.012687,-0.00091135,0.32,-0.45018,0.5
0.99711,-0.012818,-0.00091044,0.32,-0.44652,0.5
0.99708,-0.012948,-0.00090927,0.32,-0.44286,0.5
0.99705,-0.013079,-0.00090782,0.32,-0.4392,0.5
0.99703,-0.013212,-0.00090387,0.32,-0.43554,0.5
0.99701,-0.013344,-0.0008996,0.32,-0.43188,0.5
0.99699,-0.013477,-0.00089533,0.32,-0.42822,0.5
0.99698,-0.013609,-0.00089106,0.32,-0.42456,0.5
0.99696,-0.013742,-0.00088678,0.32,-0.4209,0.5
0.99694,-0.013874,-0.00088251,0.32,-0.41724,0.5
0.99692,-0.014007,-0.00087824,0.32,-0.41358,0.5
0.9969,-0.014139,-0.00087397,0.32,-0.40992,0.5
0.99688,-0.014272,-0.0008697,0.32,-0.40626,0.5
0.99686,-0.014404,-0.00086542,0.32,-0.4026,0.5
0.99684,-0.014561,-0.00086073,0.32,-0.39894,0.5
0.99682,-0.014758,-0.00085534,0.32,-0.39528,0.5
0.9968,-0.014954,-0.00084995,0.32,-0.39162,0.5
0.99678,-0.015151,-0.00084456,0.32,-0.38796,0.5
0.99675,-0.015348,-0.00083917,0.32,-0.3843,0.5
0.99673,-0.015544,-0.00083378,0.32,-0.38064,0.5
0.99671,-0.015741,-0.00082839,0.32,-0.37698,0.5
0.99669,-0.015938,-0.000823,0.32,-0.37332,0.5
0.99667,-0.016082,-0.00081885,0.32,-0.36966,0.5
0.99666,-0.016184,-0.00081567,0.32,-0.366,0.5
0.99665,-0.016287,-0.00081249,0.32,-0.36234,0.5
0.99664,-0.01639,-0.00080931,0.32,-0.35868,0.5
0.99663,-0.016493,-0.00080613,0.32,-0.35502,0.5
0.99662,-0.016596,-0.00080295,0.32,-0.35136,0.5
0.99661,-0.016699,-0.00079976,0.32,-0.3477,0.5
0.9966,-0.016802,-0.00079658,0.32,-0.34404,0.5
0.99654,-0.017014,-0.00078892,0.32,-0.34038,0.5
